,ADX
2024-01-16,25.4591
2024-01-15,26.8041
2024-01-12,27.7474
2024-01-11,26.5255
2024-01-10,26.1604
2024-01-09,27.9242
2024-01-08,30.3635
2024-01-05,33.0738
2024-01-04,34.8108
2024-01-03,37.2342
2024-01-02,38.5967
2024-01-01,39.5169
2023-12-29,36.8657
2023-12-28,34.0102
2023-12-27,31.7906
2023-12-26,30.4783
2023-12-22,30.3094
2023-12-21,31.0157
2023-12-20,31.8193
2023-12-19,30.5459
2023-12-18,29.3766
2023-12-15,29.4933
2023-12-14,30.6644
2023-12-13,32.8600
2023-12-12,35.6520
2023-12-11,38.7542
2023-12-08,41.9859
2023-12-07,44.7241
2023-12-06,47.7665
2023-12-05,44.0810
2023-12-04,39.9860
2023-12-01,35.9129
2023-11-30,32.1306
2023-11-29,28.9906
2023-11-28,27.3202
2023-11-24,25.4641
2023-11-23,24.0114
2023-11-22,22.3972
2023-11-21,20.9022
2023-11-20,19.8197
2023-11-17,18.3184
2023-11-16,16.6881
2023-11-15,17.1038
2023-11-13,18.1961
2023-11-10,19.5881
2023-11-09,21.1347
2023-11-08,23.2212
2023-11-07,22.8292
2023-11-06,24.2848
2023-11-03,25.2225
2023-11-02,26.7327
2023-11-01,28.6476
2023-10-31,28.2889
2023-10-30,28.0472
2023-10-27,27.6879
2023-10-26,27.3464
2023-10-25,26.3288
2023-10-23,25.8071
2023-10-20,26.3217
2023-10-19,27.1692
2023-10-18,28.9131
2023-10-17,28.3434
2023-10-16,26.4913
2023-10-13,23.9425
2023-10-12,21.3722
2023-10-11,19.1203
2023-10-10,16.7404
2023-10-09,17.4621
2023-10-06,18.6998
2023-10-05,18.2974
2023-10-04,17.6181
2023-10-03,18.2231
2023-09-29,20.0850
2023-09-28,20.7300
2023-09-27,21.4516
2023-09-26,23.5952
2023-09-25,24.6604
2023-09-22,25.8441
2023-09-21,26.9176
2023-09-20,27.5254
2023-09-18,28.7435
2023-09-15,31.0263
2023-09-14,29.9306
2023-09-13,30.7986
2023-09-12,30.7483
2023-09-11,30.6924
2023-09-08,32.4389
2023-09-07,31.9447
2023-09-06,31.0876
2023-09-05,30.6863
2023-09-04,29.9085
2023-09-01,27.4328
2023-08-31,25.0983
2023-08-30,22.5044
2023-08-29,21.3173
2023-08-28,20.2052
2023-08-25,20.1721
2023-08-24,21.3870
2023-08-23,23.3158
2023-08-22,25.4872
2023-08-21,26.8971
2023-08-18,28.4637
2023-08-17,29.4444
2023-08-16,29.8860
2023-08-14,29.5802
2023-08-11,27.6017
2023-08-10,25.9313
2023-08-09,25.5667
2023-08-08,26.0433
2023-08-07,27.6529
2023-08-04,28.4201
2023-08-03,27.0722
2023-08-02,25.7268
2023-08-01,24.2320
2023-07-31,23.0310
2023-07-28,22.0998
2023-07-27,21.5870
2023-07-26,20.0152
