,ADX
2024-01-16,33.4838
2024-01-15,37.0670
2024-01-12,38.5824
2024-01-11,38.5154
2024-01-10,39.1817
2024-01-09,38.2326
2024-01-08,36.7758
2024-01-05,35.3389
2024-01-04,34.2045
2024-01-03,33.0603
2024-01-02,32.4863
2024-01-01,32.6382
2023-12-29,33.5021
2023-12-28,34.8164
2023-12-27,34.7093
2023-12-26,34.9492
2023-12-22,35.2159
2023-12-21,35.5121
2023-12-20,32.3585
2023-12-19,29.2139
2023-12-18,26.8866
2023-12-15,23.8319
2023-12-14,20.4379
2023-12-13,20.6135
2023-12-12,20.8086
2023-12-11,21.7579
2023-12-08,22.3438
2023-12-07,21.8934
2023-12-06,19.2987
2023-12-05,18.7344
2023-12-04,18.1074
2023-12-01,18.7546
2023-11-30,16.3268
2023-11-29,15.3908
2023-11-28,14.7416
2023-11-24,15.5291
2023-11-23,16.4041
2023-11-22,18.1691
2023-11-21,19.7352
2023-11-20,19.4300
2023-11-17,19.5177
2023-11-16,19.2825
2023-11-15,20.0740
2023-11-13,21.9377
2023-11-10,23.5703
2023-11-09,25.0384
2023-11-08,26.7146
2023-11-07,26.4254
2023-11-06,25.7125
2023-11-03,25.1063
2023-11-02,24.4327
2023-11-01,23.2191
2023-10-31,21.8707
2023-10-30,21.5497
2023-10-27,21.1930
2023-10-26,22.7108
2023-10-25,21.6718
2023-10-23,22.5565
2023-10-20,24.3706
2023-10-19,25.0117
2023-10-18,25.4195
2023-10-17,25.7347
2023-10-16,26.2070
2023-10-13,25.0946
2023-10-12,24.4078
2023-10-11,24.8181
2023-10-10,27.5655
2023-10-09,30.2521
2023-10-06,32.0018
2023-10-05,34.7006
2023-10-04,36.6860
2023-10-03,38.8920
2023-09-29,42.4751
2023-09-28,42.7978
2023-09-27,42.5903
2023-09-26,42.3597
2023-09-25,42.6460
2023-09-22,42.9642
2023-09-21,44.5694
2023-09-20,48.1522
2023-09-18,49.7459
2023-09-15,47.8136
2023-09-14,46.1092
2023-09-13,44.2154
2023-09-12,42.3427
2023-09-11,40.2619
2023-09-08,38.0553
2023-09-07,36.4675
2023-09-06,35.2880
2023-09-05,34.3237
2023-09-04,31.0457
2023-09-01,26.5987
2023-08-31,21.9240
2023-08-30,18.3934
2023-08-29,17.0103
2023-08-28,17.9538
2023-08-25,19.2298
2023-08-24,21.1499
2023-08-23,22.1471
2023-08-22,23.6268
2023-08-21,24.1055
2023-08-18,23.7378
2023-08-17,23.2194
2023-08-16,22.8144
2023-08-14,21.2722
2023-08-11,19.1479
2023-08-10,17.8211
2023-08-09,16.3692
2023-08-08,15.6389
2023-08-07,16.1852
2023-08-04,15.1359
2023-08-03,14.0705
2023-08-02,14.0872
2023-08-01,14.1058
2023-07-31,15.1571
2023-07-28,16.4181
2023-07-27,16.1111
2023-07-26,17.7758
2023-07-25,18.8567
2023-07-24,20.6811
2023-07-21,21.4536
2023-07-20,21.8636
2023-07-19,23.0518
2023-07-18,25.0146
2023-07-17,27.0945
2023-07-14,29.7672
2023-07-13,32.8471
2023-07-12,35.9147
2023-07-11,35.4628
2023-07-10,34.9607
2023-07-07,34.7505
2023-07-06,32.3198
2023-07-05,29.6190
2023-07-04,26.6182
2023-07-03,25.8429
2023-06-30,24.1461
2023-06-28,22.2609
2023-06-27,23.7066
2023-06-26,26.0827
2023-06-23,28.7227
2023-06-22,29.3597
2023-06-21,31.2713
2023-06-20,33.8230
2023-06-19,37.1722
2023-06-16,40.0932
2023-06-15,43.3388
2023-06-14,43.8405
2023-06-13,45.7972
2023-06-12,47.4781
2023-06-09,48.5748
2023-06-08,47.8532
2023-06-07,46.5851
2023-06-06,44.4791
2023-06-05,42.3427
2023-06-02,40.7817
2023-06-01,40.0467
2023-05-31,40.9629
2023-05-30,40.6695
2023-05-29,39.1536
2023-05-26,37.4022
2023-05-25,36.0734
2023-05-24,35.9972
2023-05-23,35.9124
2023-05-22,36.8522
2023-05-19,38.9141
2023-05-18,41.9807
2023-05-17,43.5749
2023-05-16,45.5458
2023-05-15,47.1623
2023-05-12,45.6864
2023-05-11,42.4773
2023-05-10,38.9805
2023-05-09,35.7902
2023-05-08,32.4846
2023-05-05,28.9445
2023-05-04,25.9516
2023-05-03,24.4190
2023-05-02,22.7161
2023-04-28,20.8396
2023-04-27,22.3069
2023-04-26,24.1697
2023-04-25,26.2791
2023-04-24,27.9417
2023-04-21,30.2561
2023-04-20,31.9155
2023-04-19,30.4934
2023-04-18,28.5496
2023-04-17,26.3899
2023-04-13,23.9902
2023-04-12,22.7828
2023-04-11,21.4413
2023-04-10,20.4436
2023-04-06,21.2043
2023-04-05,22.4124
2023-04-03,22.6085
2023-03-31,22.8264
2023-03-29,23.4199
2023-03-28,22.6511
2023-03-27,21.7968
2023-03-24,22.0101
2023-03-23,22.2470
2023-03-22,23.0610
2023-03-21,21.7642
2023-03-20,20.0184
2023-03-17,18.0786
2023-03-16,18.0923
2023-03-15,19.7043
2023-03-14,20.9963
2023-03-13,20.1066
2023-03-10,19.7937
2023-03-09,19.0474
2023-03-08,19.2671
2023-03-06,20.9935
2023-03-03,21.4848
2023-03-02,21.1963
2023-03-01,20.8758
2023-02-28,22.6151
2023-02-27,22.5196
2023-02-24,20.3632
2023-02-23,19.4244
2023-02-22,18.4786
2023-02-21,16.2496
2023-02-20,14.7552
2023-02-17,13.7465
2023-02-16,13.8688
2023-02-15,15.2094
2023-02-14,16.6989
2023-02-13,17.3930
2023-02-10,18.1644
2023-02-09,19.5068
2023-02-08,19.9448
2023-02-07,20.4314
2023-02-06,22.1493
2023-02-03,23.4740
2023-02-02,24.2397
2023-02-01,25.5066
2023-01-31,26.9143
2023-01-30,25.1106
2023-01-27,24.0522
2023-01-25,22.8761
2023-01-24,20.0008
2023-01-23,18.0557
2023-01-20,19.8895
2023-01-19,21.4617
2023-01-18,21.7586
2023-01-17,22.0885
2023-01-16,23.4378
2023-01-13,24.7884
2023-01-12,26.4801
2023-01-11,27.6174
2023-01-10,28.0535
2023-01-09,28.7580
2023-01-06,30.6691
2023-01-05,33.2815
2023-01-04,36.8990
2023-01-03,40.9184
2023-01-02,42.8137
2022-12-30,45.3985
2022-12-29,48.7486
2022-12-28,50.6678
2022-12-27,52.8002
2022-12-26,51.5310
2022-12-23,48.6912
2022-12-22,45.7403
2022-12-21,43.4361
2022-12-20,40.8772
2022-12-19,39.2705
2022-12-16,37.6955
2022-12-15,34.6046
2022-12-14,32.3717
2022-12-13,30.1365
2022-12-12,27.8234
2022-12-09,25.1003
2022-12-08,22.3079
2022-12-07,19.8634
2022-12-06,17.5199
2022-12-05,15.5631
2022-12-02,14.2449
2022-12-01,12.7803
2022-11-30,13.8296
2022-11-29,14.6876
2022-11-28,15.9801
2022-11-25,16.8590
2022-11-24,18.1951
2022-11-23,19.3184
2022-11-22,20.5657
2022-11-21,21.0186
2022-11-18,21.4739
2022-11-17,22.4848
2022-11-16,24.8394
2022-11-15,25.3590
2022-11-14,26.4856
2022-11-11,28.1777
2022-11-10,29.2913
2022-11-09,30.1715
2022-11-07,29.0385
2022-11-04,28.6636
2022-11-03,28.4475
2022-11-02,28.3205
2022-11-01,27.5662
2022-10-31,24.5035
2022-10-28,19.9759
2022-10-27,15.7407
2022-10-25,14.1065
2022-10-21,12.9201
2022-10-20,14.0367
2022-10-19,14.2274
2022-10-18,15.5058
2022-10-17,16.0768
2022-10-14,16.4483
2022-10-13,17.5595
2022-10-12,18.7942
2022-10-11,18.8080
2022-10-10,19.9406
2022-10-07,21.1989
2022-10-06,23.4800
2022-10-04,25.7625
2022-10-03,27.1772
2022-09-30,28.7490
2022-09-29,29.1143
2022-09-28,28.4677
2022-09-27,28.2013
2022-09-26,27.9837
2022-09-23,28.8269
2022-09-22,27.2432
2022-09-21,25.6401
2022-09-20,24.2207
2022-09-19,21.5533
2022-09-16,19.3360
2022-09-15,17.0910
2022-09-14,14.5965
2022-09-13,15.9703
2022-09-12,15.8404
2022-09-09,15.6960
2022-09-08,15.8204
2022-09-07,17.5066
2022-09-06,19.2855
2022-09-05,19.7691
2022-09-02,20.1463
2022-09-01,20.1780
2022-08-30,19.7521
2022-08-29,19.9601
2022-08-26,19.7680
2022-08-25,21.3591
2022-08-24,23.1269
2022-08-23,23.6839
2022-08-22,24.2855
2022-08-19,25.4687
2022-08-18,28.2345
2022-08-17,28.8391
2022-08-16,28.5225
2022-08-12,28.5176
2022-08-11,31.3611
2022-08-10,33.4800
2022-08-08,33.6750
2022-08-05,33.6100
2022-08-04,33.5483
2022-08-03,33.0601
2022-08-02,31.9673
2022-08-01,30.0771
2022-07-29,28.7398
2022-07-28,28.4089
2022-07-27,29.8301
2022-07-26,32.2472
2022-07-25,35.7633
2022-07-22,39.3943
2022-07-21,37.7121
2022-07-20,36.3031
2022-07-19,34.7375
2022-07-18,33.5290
2022-07-15,31.8144
2022-07-14,30.2291
2022-07-13,30.3485
2022-07-12,31.6842
2022-07-11,33.1684
2022-07-08,34.0296
2022-07-07,34.5718
2022-07-06,32.7680
2022-07-05,31.1028
2022-07-04,30.3514
2022-07-01,29.8928
2022-06-30,29.4579
2022-06-29,26.3712
2022-06-28,23.5266
2022-06-27,20.0335
2022-06-24,16.1101
2022-06-23,12.5722
2022-06-22,9.0406
2022-06-21,9.5703
2022-06-20,10.6032
2022-06-17,10.7703
2022-06-16,11.2450
2022-06-15,10.7243
2022-06-14,11.5550
2022-06-13,12.6977
2022-06-10,13.5019
2022-06-09,13.8043
2022-06-08,14.1402
2022-06-07,15.5605
2022-06-06,16.1510
2022-06-03,16.1259
2022-06-02,17.0461
2022-06-01,17.5704
2022-05-31,17.7557
2022-05-30,17.7478
2022-05-27,17.0107
2022-05-26,16.9533
2022-05-25,18.0556
2022-05-24,18.4098
2022-05-23,17.6502
2022-05-20,16.8061
2022-05-19,18.4483
2022-05-18,19.3414
2022-05-17,21.1655
2022-05-16,23.2547
2022-05-13,21.7167
2022-05-12,20.0079
2022-05-11,19.3144
2022-05-10,19.9040
2022-05-09,20.6645
2022-05-06,19.2542
2022-05-05,17.0013
2022-05-04,16.3615
2022-05-02,15.6506
2022-04-29,16.8578
2022-04-28,18.1055
2022-04-27,17.2808
2022-04-26,16.9552
2022-04-25,14.5953
2022-04-22,12.6333
2022-04-21,10.4533
2022-04-20,9.1440
2022-04-19,10.1534
2022-04-18,11.0155
2022-04-13,10.7612
2022-04-12,11.4899
2022-04-11,12.3846
2022-04-08,13.1111
2022-04-07,14.2615
2022-04-06,14.7925
2022-04-05,14.6249
2022-04-04,13.7051
2022-04-01,13.6509
2022-03-31,14.2682
2022-03-30,15.7185
2022-03-29,17.3817
2022-03-28,18.6480
2022-03-25,19.7532
2022-03-24,20.9812
2022-03-23,23.2693
2022-03-22,25.1990
2022-03-21,27.6997
2022-03-17,29.6275
2022-03-16,32.8479
2022-03-15,35.4672
2022-03-14,38.3776
2022-03-11,39.6510
2022-03-10,40.0809
2022-03-09,40.9342
2022-03-08,39.2945
2022-03-07,35.2819
2022-03-04,31.1104
2022-03-03,27.2231
2022-03-02,24.0994
2022-02-28,21.4084
2022-02-25,20.2402
2022-02-24,19.5859
2022-02-23,18.8590
2022-02-22,19.1103
2022-02-21,20.8088
2022-02-18,21.8895
2022-02-17,23.9329
2022-02-16,26.0287
2022-02-15,28.1898
2022-02-14,31.2013
2022-02-11,34.2890
2022-02-10,34.6247
2022-02-09,33.3709
2022-02-08,32.2470
2022-02-07,32.1940
2022-02-04,33.6096
2022-02-03,33.8219
2022-02-02,33.7188
2022-02-01,34.4047
2022-01-31,35.1668
2022-01-28,33.2973
2022-01-27,31.2201
2022-01-25,28.9120
2022-01-24,27.8151
2022-01-21,29.0681
2022-01-20,31.3736
2022-01-19,32.2183
2022-01-18,33.9087
2022-01-17,35.3950
2022-01-14,33.7838
2022-01-13,33.6736
2022-01-12,33.5512
2022-01-11,30.1959
2022-01-10,26.6184
2022-01-07,22.6435
2022-01-06,19.8818
2022-01-05,17.1675
2022-01-04,14.9106
2022-01-03,14.0837
2021-12-31,13.7133
2021-12-30,14.9314
2021-12-29,15.3117
2021-12-28,15.1816
2021-12-27,15.1569
2021-12-24,14.6524
2021-12-23,14.7742
2021-12-22,15.9292
2021-12-21,16.7212
2021-12-20,16.8853
2021-12-17,15.9450
2021-12-16,16.9222
2021-12-15,17.3628
2021-12-14,17.1544
2021-12-13,17.8751
2021-12-10,18.6759
2021-12-09,20.5882
2021-12-08,22.8462
2021-12-07,25.3552
2021-12-06,25.5433
2021-12-03,25.1708
2021-12-02,25.7196
2021-12-01,27.0611
2021-11-30,28.5516
2021-11-29,28.8870
2021-11-26,28.7870
2021-11-25,29.5421
2021-11-24,32.6303
2021-11-23,34.2460
2021-11-22,33.9682
2021-11-18,33.5233
2021-11-17,30.2502
2021-11-16,26.6940
2021-11-15,23.6168
2021-11-12,24.7221
2021-11-11,26.1984
2021-11-10,27.8388
2021-11-09,29.3364
2021-11-08,29.7506
2021-11-03,27.7597
2021-11-02,25.8138
2021-11-01,23.6517
2021-10-29,23.2672
2021-10-28,24.0729
2021-10-27,25.2296
2021-10-26,27.3253
2021-10-25,29.4277
2021-10-22,31.9024
2021-10-21,34.1178
2021-10-20,34.9959
2021-10-19,35.4468
2021-10-18,34.6775
2021-10-14,34.2809
2021-10-13,35.0590
2021-10-12,35.9236
2021-10-11,33.4025
2021-10-08,30.6013
2021-10-07,28.6603
2021-10-06,26.8640
2021-10-05,26.9801
2021-10-04,27.2316
2021-10-01,28.4273
2021-09-30,29.7558
2021-09-29,27.4672
2021-09-28,24.9244
2021-09-27,21.2830
2021-09-24,17.6233
2021-09-23,17.1794
2021-09-22,18.4405
2021-09-21,19.1676
2021-09-20,19.9756
2021-09-17,20.9441
2021-09-16,20.3354
2021-09-15,22.0738
2021-09-14,23.6796
2021-09-13,25.4638
2021-09-09,27.8133
2021-09-08,28.3801
2021-09-07,29.4254
2021-09-06,32.6499
2021-09-03,36.2326
2021-09-02,40.2135
2021-09-01,42.1210
2021-08-31,43.4651
2021-08-30,45.9490
2021-08-27,46.9523
2021-08-26,44.1532
2021-08-25,41.0430
2021-08-24,38.3911
2021-08-23,35.8111
2021-08-20,33.5479
2021-08-18,30.9536
2021-08-17,28.5139
2021-08-16,25.6918
2021-08-13,23.1889
2021-08-12,22.7423
2021-08-11,22.3947
2021-08-10,22.0084
2021-08-09,22.7879
2021-08-06,24.1744
2021-08-05,25.8343
2021-08-04,25.8055
2021-08-03,25.7734
2021-08-02,26.9540
