,ADX
2024-01-16,26.8562
2024-01-15,29.7368
2024-01-12,32.0779
2024-01-11,34.6791
2024-01-10,36.5849
2024-01-09,38.1356
2024-01-08,41.5144
2024-01-05,46.0031
2024-01-04,50.2398
2024-01-03,54.8268
2024-01-02,58.6836
2024-01-01,62.7095
2023-12-29,61.3917
2023-12-28,59.9275
2023-12-27,58.3394
2023-12-26,56.6381
2023-12-22,56.8024
2023-12-21,57.2471
2023-12-20,58.0328
2023-12-19,58.2139
2023-12-18,56.0229
2023-12-15,53.6574
2023-12-14,51.0291
2023-12-13,48.3199
2023-12-12,45.3096
2023-12-11,42.1791
2023-12-08,39.4706
2023-12-07,37.9834
2023-12-06,36.7525
2023-12-05,35.6284
2023-12-04,32.0441
2023-12-01,28.3529
2023-11-30,25.3050
2023-11-29,22.9509
2023-11-28,23.3631
2023-11-24,24.8273
2023-11-23,26.7296
2023-11-22,29.4753
2023-11-21,31.7841
2023-11-20,33.1664
2023-11-17,34.7024
2023-11-16,32.8615
2023-11-15,31.5879
2023-11-13,30.1727
2023-11-10,29.9182
2023-11-09,29.6353
2023-11-08,28.5321
2023-11-07,26.0373
2023-11-06,23.4459
2023-11-03,20.9767
2023-11-02,19.6118
2023-11-01,18.8524
2023-10-31,18.0087
2023-10-30,17.4207
2023-10-27,17.0920
2023-10-26,18.9020
2023-10-25,20.7215
2023-10-23,22.5629
2023-10-20,22.5560
2023-10-19,20.2131
2023-10-18,18.6693
2023-10-17,19.6531
2023-10-16,21.5327
2023-10-13,23.6212
2023-10-12,25.7569
2023-10-11,28.2598
2023-10-10,31.0407
2023-10-09,30.2912
2023-10-06,29.4585
2023-10-05,29.3912
2023-10-04,29.3164
2023-10-03,29.2332
2023-09-29,31.5842
2023-09-28,31.6974
2023-09-27,31.9753
2023-09-26,33.4024
2023-09-25,35.0582
2023-09-22,35.6738
2023-09-21,36.4706
2023-09-20,38.7539
2023-09-18,42.2719
2023-09-15,41.6685
2023-09-14,39.0159
2023-09-13,36.4682
2023-09-12,33.8018
2023-09-11,31.5599
2023-09-08,30.5332
2023-09-07,29.3923
2023-09-06,26.9734
2023-09-05,23.8884
2023-09-04,20.4368
2023-09-01,16.6017
2023-08-31,15.4455
2023-08-30,14.1609
2023-08-29,13.6081
2023-08-28,14.8952
2023-08-25,14.7438
2023-08-24,14.7926
2023-08-23,15.5223
2023-08-22,15.4907
2023-08-21,16.0212
2023-08-18,16.6108
2023-08-17,18.4247
2023-08-16,20.4401
2023-08-14,22.6794
2023-08-11,21.3404
2023-08-10,20.3212
2023-08-09,19.7330
2023-08-08,18.3528
2023-08-07,17.5404
2023-08-04,17.1788
2023-08-03,16.2695
2023-08-02,15.2591
2023-08-01,16.4500
2023-07-31,17.5335
2023-07-28,18.1141
2023-07-27,20.0937
2023-07-26,21.3707
2023-07-25,21.7801
2023-07-24,22.9924
2023-07-21,22.9658
2023-07-20,22.9362
2023-07-19,24.8493
2023-07-18,26.9725
2023-07-17,26.6597
2023-07-14,26.8534
2023-07-13,27.0686
2023-07-12,28.2730
2023-07-11,29.6113
2023-07-10,31.6805
2023-07-07,34.1675
2023-07-06,35.3288
2023-07-05,34.7482
2023-07-04,34.5479
2023-07-03,33.1926
2023-06-30,31.6997
2023-06-28,32.3401
2023-06-27,33.1342
2023-06-26,35.4409
2023-06-23,38.8690
2023-06-22,43.1257
2023-06-21,46.1011
2023-06-20,47.2396
2023-06-19,49.2409
2023-06-16,48.7964
2023-06-15,46.3057
2023-06-14,43.3433
2023-06-13,40.4077
2023-06-12,37.4780
2023-06-09,35.1853
2023-06-08,32.1967
2023-06-07,28.9040
2023-06-06,25.5674
2023-06-05,22.2813
2023-06-02,20.9573
2023-06-01,19.4861
2023-05-31,18.6551
2023-05-30,17.7316
2023-05-29,14.9122
2023-05-26,13.3909
2023-05-25,13.8836
2023-05-24,14.0230
2023-05-23,14.1841
2023-05-22,15.2508
2023-05-19,15.8764
2023-05-18,15.1419
2023-05-17,14.4733
2023-05-16,15.0199
2023-05-15,16.1122
2023-05-12,17.6087
2023-05-11,19.2714
2023-05-10,19.8092
2023-05-09,21.8965
2023-05-08,24.2157
2023-05-05,24.3266
2023-05-04,25.8907
2023-05-03,26.5488
2023-05-02,27.2800
2023-04-28,28.0925
2023-04-27,29.8701
2023-04-26,30.1648
2023-04-25,30.2764
2023-04-24,32.2168
2023-04-21,33.0381
2023-04-20,34.4527
2023-04-19,37.9688
2023-04-18,41.6726
2023-04-17,43.5697
2023-04-13,42.9864
2023-04-12,43.3950
2023-04-11,41.9984
2023-04-10,39.3316
2023-04-06,36.5575
2023-04-05,33.8376
2023-04-03,31.1189
2023-03-31,28.0982
2023-03-29,25.4755
2023-03-28,23.0305
2023-03-27,21.4137
2023-03-24,19.9894
2023-03-23,19.1965
2023-03-22,17.1212
2023-03-21,15.0047
2023-03-20,13.8342
2023-03-17,13.8920
2023-03-16,13.6894
2023-03-15,13.7038
2023-03-14,13.7889
2023-03-13,11.9418
2023-03-10,10.9075
2023-03-09,11.4370
