Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA,13MA,30MA,EMA,DEMA,+DI,-DI,DX,ADX,VWAP,Upper_Band,Lower_Band,MACD,Signal_line,%K,%D
2019-03-15,701.0,707.0,684.0,694.4500122070312,694.4500122070312,263606,,,,,694.4500122070312,694.4500122070312,,,,,695.1500040690104,,,0.0,0.0,,
2019-03-18,698.9000244140625,722.2000122070312,698.75,720.5,720.5,458052,,,,,699.1863736239346,703.0615784195829,,,,,706.998142660975,,,2.0780617042825043,0.4156123408565009,,
2019-03-19,721.0,759.8499755859375,719.5,752.5,752.5,948866,,,,,708.8797602377647,719.9813350273379,,,,,727.9869781065955,,,6.235197663999202,1.5795294054850413,,
2019-03-20,761.0,824.75,758.0,811.6500244140625,811.6500244140625,1314618,,,,,727.5652628152734,751.9365079337949,,,,,758.8785309753878,,,14.139677099497248,4.091558944287483,,
2019-03-22,816.0,853.0,806.2000122070312,846.3499755859375,846.3499755859375,1314819,,,,,749.1624833190305,786.7730461008948,,,,,782.2106027270756,,,22.93959666980072,7.861166489390131,,
2019-03-25,841.0,843.3499755859375,813.5,829.0999755859375,829.0999755859375,331608,,,,,763.6965728221045,806.3603792370541,,,,,785.5355386728888,,,28.19663226853072,11.92825964521825,,
2019-03-26,831.0999755859375,845.9500122070312,803.0,814.1500244140625,814.1500244140625,303238,,,,,772.869927657006,815.2821504977933,,,,,787.7168365349694,,,30.801474512872915,15.702902618749182,,
2019-03-27,820.0,883.0,804.6500244140625,855.4000244140625,855.4000244140625,749384,,,,,787.8753997946526,834.8535138679168,,,,,795.622613352418,,,35.78188966712537,19.71870002842442,,
2019-03-28,862.4000244140625,885.0,857.7000122070312,867.9000244140625,867.9000244140625,585307,,,,,802.4253315436362,852.7664599436571,,,,,802.585000706461,,,40.27330450687157,23.829620924113847,,
2019-04-01,819.9000244140625,836.0,811.0499877929688,814.7000122070312,814.7000122070312,232628,,,,,804.6570916642535,847.6712731811393,,,,,803.2289310336068,,,39.08938861258616,26.881574461808313,,
2019-04-02,865.0,898.7999877929688,847.0,894.0999755859375,894.0999755859375,3481225,,,,,820.9194341954686,869.4184084166423,,,,,829.9876096810647,,,44.05025627421173,30.315310824289,,
2019-04-03,890.0,937.7000122070312,878.0,891.5999755859375,891.5999755859375,3185958,,,,,833.7704417210084,883.9658813319559,,,,,847.5138914223495,,,47.235548530195274,33.69935836547026,,
2019-04-04,898.0,922.9000244140625,895.5499877929688,917.7000122070312,917.7000122070312,1164805,,,823.8538489708534,,849.030363627558,902.5847503236921,,,,,852.7581633341676,,,51.274905230096465,37.214467738395506,,
2019-04-05,942.0,986.9500122070312,940.0,976.1500244140625,976.1500244140625,2649040,,,845.5230806790865,,872.1430292251042,934.8706174653881,,,,,870.6868446225885,,,58.5179930174163,41.475172794199665,96.43505946268515,
2019-04-08,983.7999877929688,984.0,923.0999755859375,928.9000244140625,928.9000244140625,980163,73.22437251679993,,861.5538517878606,,882.4624828958238,942.228244459372,47.85811566070515,10.102325897424965,65.14061789093493,,874.7599078722205,,,59.75667441184157,45.13147311772805,79.85774277092396,
2019-04-09,925.0,928.0,885.5,911.7999877929688,911.7999877929688,880523,69.2920524912205,,873.8076970027043,,887.7965746953047,941.0600910832377,44.98962016017854,14.689897686875527,50.77072263042535,,876.3333781428469,,,58.68205805978744,47.841590106139925,71.90128211477165,82.73136144946025
2019-04-10,907.0,947.7999877929688,891.5,932.9000244140625,932.9000244140625,1183605,68.60177514241745,,883.1346200796274,,895.997201916897,946.2860466883268,44.230941707831235,13.554876319585524,53.08580277204228,,879.1543752185764,,,58.85457457356688,50.044186999625325,76.39223196717137,76.05041895095566
2019-04-11,937.0,949.5,909.0999755859375,917.0,917.0,594995,61.92686174145528,,888.5692373422476,,899.8158924774611,944.085694112729,41.97548355631793,12.791012480094407,53.28891418727936,,880.4828752251101,,,57.05065166587838,51.44547993287594,61.97335821413036,70.08895743202446
2019-04-12,919.1500244140625,933.0,900.0,907.9000244140625,907.9000244140625,452116,57.39695248221831,,894.6307795597957,,901.2857346477523,938.7090795795734,39.99298446890504,13.489178687860473,49.556345922952495,,881.1940577618803,,,54.261247897547605,52.00863352581028,57.02637534810277,65.13065517646817
2019-04-15,909.9500122070312,963.0,909.0,957.2000122070312,957.2000122070312,925207,64.29368736354435,,905.6346247746394,,911.4519669312575,950.3888937437973,41.12415791130361,12.433319475569979,53.57018260678102,,883.7961300947344,,,55.39021835430526,52.684950491509284,83.82712800990896,67.6089538573807
2019-04-16,957.0,957.0,935.0999755859375,942.7000122070312,942.7000122070312,364896,64.35831154415712,,912.3500084510216,,917.1334297086709,953.6393848277235,39.77910273442083,12.026660675102333,53.570182606781,,884.7936288461434,,,54.48681665114623,53.045323723436674,75.72682229125925,72.19344188309033
2019-04-18,938.0499877929688,942.5999755859375,911.2999877929688,915.25,915.25,244794,56.89754086829296,,915.9923142653245,,916.7909879434579,946.379317051145,37.88345108873202,15.065560728370095,43.09408160284482,,885.2078329019438,,,50.96834634695756,52.62992824814086,59.23820224251253,72.93071751456024
2019-04-22,905.0,913.7000122070312,900.0,903.5999755859375,903.5999755859375,204508,54.122395047047796,,922.8307729867788,,914.3926220602723,936.6389556075917,36.96188826564383,16.501015441152088,38.27115888935689,,885.3921255437788,,,46.701527536036,51.444248105719886,52.61510798606219,62.526710839944656
2019-04-23,905.0,927.0,881.1500244140625,889.9500122070312,889.9500122070312,340744,59.5628397498963,,922.5115450345553,,909.9485111778648,924.51396608552,34.263836523452646,18.297339395014998,30.376978538693116,,885.5977746850592,,,41.73748121764015,49.50289472810394,30.689538021257416,47.514282749944044
2019-04-24,895.5,907.9000244140625,885.0,892.2000122070312,892.2000122070312,245042,49.69965812219801,,922.5577016977163,,906.7215113649859,915.9984291698028,32.96953455864099,17.60616512112469,30.376978538693105,,885.6965839223354,,,37.552117507015055,47.112739283886164,13.033511350184899,32.11271911916817
2019-04-25,894.0,904.0,862.4000244140625,877.4500122070312,877.4500122070312,263525,47.84660498442773,,919.4615478515625,,901.3994206089941,904.6351881943965,30.70066478747534,20.133243592873097,20.788134399454197,,885.6474360849354,,,32.66840385900946,44.223872198910826,12.083491985551499,18.60218045233127
2019-04-26,882.0,888.0,850.0999755859375,854.8499755859375,854.8499755859375,273841,40.33225421035406,,910.1307748647837,,892.9358851502565,888.6586205266186,28.758959194600582,20.912599900857693,15.796482809536618,,885.4034115158357,,,26.666991055510266,40.71249597023072,3.470952670003046,9.529318668579814
2019-04-30,852.7000122070312,859.0,815.6500244140625,829.9000244140625,829.9000244140625,998260,24.918543044693934,,902.515390249399,,881.4748195618574,868.5980039338273,26.680258675726957,25.144991147212835,2.9623929141863115,40.046355450711545,883.3795624107081,,,19.670822628168935,36.504161301818364,8.46450969202892,8.006318115861154
2019-05-02,834.9000244140625,850.0,815.0999755859375,820.4000244140625,820.4000244140625,540719,28.624905609557842,,895.484623835637,,870.3703113531674,850.7492282140328,25.106906934010098,23.755117016184432,2.7665450764044426,37.383511852546754,882.2147675078181,,,13.207490411554886,31.844827123765672,3.5835347892079628,5.172999050413309
2019-05-03,832.0,844.0,813.0,817.75,817.75,579926,30.35304503799682,,886.6269296499399,866.2000061035156,860.8029820162278,836.9215536267126,23.76613378962267,22.84825466036518,1.969089716241321,34.853910271382084,880.9394898184794,951.6327557258637,780.7672564811676,7.781715469079586,27.03220479282846,3.166666666666667,5.071570382634516
2019-05-06,812.9000244140625,827.1500244140625,796.1500244140625,801.7999877929688,801.7999877929688,255106,22.011095263051857,,877.765390249399,869.7783386230469,850.0751648847262,821.7585094584397,22.473860389312613,24.561611776328075,4.438674240716053,32.6813934120488,880.2358422088646,965.6516021420965,773.9050751039973,2.169706030749353,22.05970504041264,3.386253644368194,3.3788183667476077
2019-05-07,806.5,814.7000122070312,771.0,774.0,774.0,317715,20.94676672365928,,867.4653883713943,871.5616719563802,836.2433167238669,801.7581774252931,20.760064802440457,27.077334400103446,13.205712900309695,31.290273375496007,879.1182530862369,981.5335020459132,761.5898418668472,-4.469556299355872,16.753852772458938,1.5625,2.705140103678287
2019-05-08,770.5,794.0,753.0,779.5,779.5,359071,23.525768162048976,,853.796156663161,872.4616719563802,825.9263500468002,789.2700815212761,19.274848583832245,28.280816901077376,18.93774006822154,30.407949567833548,877.7396242945325,991.679008522383,753.2443353903774,-9.18157600186737,11.566767017593676,12.619047619047619,5.855933754471938
2019-05-09,779.0499877929688,801.6500244140625,775.0999755859375,794.3499755859375,794.3499755859375,371890,10.862762274433209,,842.3846153846154,871.8850036621094,820.185191053916,785.496386720673,19.728183792967922,26.937087998594823,15.44811361610948,29.339389856996114,876.5520011306688,988.4285835373066,755.3414237869122,-11.584082548240303,6.936597104426881,20.269595875459558,11.483714498169059
2019-05-10,799.2999877929688,813.7000122070312,783.0,789.2000122070312,789.2000122070312,228184,11.373921056673325,,832.688462477464,869.9800048828125,814.5515221726641,781.5604077244411,20.81883132240719,25.43222274727668,9.974673048356374,27.95619579923613,875.8799547510191,989.0024868661169,750.9575228995081,-13.745199199718968,2.8002378435977113,19.09283590103805,17.327159798515076
2019-05-13,789.0,789.0,755.0,757.2000122070312,757.2000122070312,223964,11.119302520354822,,821.4269268329327,867.583339436849,804.1239749061854,768.5996153214294,19.511072280738567,28.977189475940662,19.522492356406534,27.353788410462588,875.0037033521163,993.8042587804969,741.3624200932011,-17.834447867404947,-1.3266992986028203,2.413800118983477,13.925410631827027
2019-05-14,762.7000122070312,812.0,748.0,801.5499877929688,801.5499877929688,461966,28.37464816494787,,814.6269249549279,867.1633382161458,803.6559772492368,774.2076849605694,21.356721784894766,25.72119565153158,9.270745403151203,26.062142481368916,873.5688108594871,990.5585190991753,743.7681573331163,-17.297143809677777,-4.520788200817812,29.916194297747907,17.14094343925648
2019-05-15,807.0,836.7999877929688,807.0,828.2999877929688,828.2999877929688,492190,37.6229587342915,,809.7115384615385,866.2600036621094,808.1367064390062,787.7087002671806,24.418029840712993,24.11384888342547,0.6267652629244558,24.245329822908595,872.7212553236715,986.018031325237,746.5019759989818,-14.545157510208583,-6.525662062695966,50.21887150250286,27.516288639744744
2019-05-16,828.0,843.2000122070312,806.6500244140625,817.6500244140625,817.6500244140625,295918,35.52145666999917,,805.1115394005409,864.5850036621093,809.8664006162892,794.5677817116634,23.96763319634144,22.541264025949506,3.0668737716453482,22.73258296210408,872.2098880343478,981.4070557533197,747.762951570899,-13.072855835605992,-7.835100817277972,44.64745154747597,41.594172449242244
2019-05-17,818.0,839.9500122070312,818.0,830.4000244140625,830.4000244140625,201383,40.790759830081115,,803.2307739257812,865.1083374023438,813.5997867613388,804.1373235944129,22.982778216352465,21.615020038929902,3.066873771645349,21.327889448499885,871.9156258979446,968.6717740506813,761.5449007540062,-10.753270696409118,-8.418734793104202,58.85716029575892,51.241161115245916
2019-05-20,854.0,858.9500122070312,842.5499877929688,849.5499877929688,849.5499877929688,282740,48.94841435635111,,804.7423095703125,863.6233378092448,820.1361869489078,817.7421354203432,25.31863942326087,20.45594895640589,10.623122214715542,20.56326321751529,871.7092549410277,954.5736590955838,772.6730165229059,-7.2857551104427785,-8.192138856571917,91.48647548916104,64.99702911079864
2019-05-21,852.3499755859375,872.0,845.0,848.2000122070312,848.2000122070312,312189,54.006129708348496,,806.8807701697716,862.1766723632812,825.2387006322031,827.4547151224372,26.510157318237482,19.396606215566063,15.495649344640338,20.20129079802422,871.5352455096748,944.6353725091736,779.7179722173888,-4.593702431878,-7.472451571633134,80.80646145728326,77.05003241406774
2019-05-22,851.7999877929688,866.0,835.0,841.2999877929688,841.2999877929688,166098,54.62798401407756,,808.6923076923077,859.6300048828125,828.1589346614331,832.361319813722,24.91520931477191,20.170666922547575,10.52334519850604,19.51000896948721,871.4019114274673,934.3943224216051,784.8656873440199,-2.982623763105721,-6.574486009927652,75.24192563949093,82.51162086197841
2019-05-23,849.75,855.0,825.5999755859375,846.75,846.75,162054,56.34296119485874,,812.1500009390024,855.3166707356771,831.5391283593543,837.7430565095262,23.472704820244232,20.854018783558192,5.907691396486168,18.538414857129993,871.2464851094367,924.4357848727537,786.1975565986005,-1.2516338179156037,-5.509915571525243,79.63709677419355,78.56182795698925
2019-05-24,854.0,897.7000122070312,846.4500122070312,880.3499755859375,880.3499755859375,559799,65.94924795956533,,820.3307682917668,853.6983357747396,840.4138278550967,852.7508868381174,29.339545557945097,18.809556862665527,21.869543077447112,18.776352587152644,871.31179101709,920.4691599772137,786.9275115722654,2.799158451614744,-3.848100766897245,88.41013012270227,81.09638417879559
2019-05-27,881.7000122070312,925.7999877929688,875.0499877929688,919.5499877929688,919.5499877929688,544289,78.24569715504693,,831.1038442758413,853.9566691080729,854.8022205710733,876.6684992338894,31.803260475901347,17.02918749756792,30.254622881818655,19.596229036771643,871.9290962520449,930.0838623950945,777.8294758210513,9.068023357914512,-1.2648759419348934,96.48481415686173,88.17734701791919
2019-05-28,923.0,939.9000244140625,905.8499755859375,928.75,928.75,360444,78.55367967349501,,841.4423076923077,853.8183349609375,868.2472713763327,897.13835912294,32.41828139243958,15.939157781474684,34.077742520026426,20.63062285700413,872.5315733929232,942.382135109126,765.254534812749,14.61009201203899,1.9101176488598834,94.18967014303026,93.02820480753142
2019-05-29,923.0,923.0,893.9500122070312,900.0499877929688,900.0499877929688,172212,69.20422500069307,,849.969228891226,853.2533345540364,874.0295834520846,902.3987287612874,30.28487851942323,17.140892774541488,27.714859213168797,21.13663973958732,872.7108845653861,947.5354305724567,758.9712385356162,16.496212154600812,4.82733655000807,79.23395958767084,89.96948129585428
2019-05-30,907.7000122070312,919.8499755859375,881.0499877929688,885.6500244140625,885.6500244140625,201546,66.95377912796403,,859.8499990609976,852.5116678873698,876.1423908997169,901.0821704280366,28.06699659879277,18.32066667069868,21.010607651159955,21.127637447556793,872.8544113566209,949.6730772302103,755.3502585445292,16.637235561941907,7.189316352394838,71.730071340197,81.71790035696604
2019-05-31,888.5,908.0,880.6500244140625,887.0999755859375,887.0999755859375,193962,75.58094615368898,,866.4307673527644,850.175,878.1346790244843,900.1700071042828,26.588705234036514,17.432739589309453,20.79887582397423,21.104154474443757,872.9691692085407,949.7261049512751,750.6238950487248,16.673791480983255,9.086211378112521,72.48564767548002,74.48322620111595
2019-06-03,887.0,907.75,880.4000244140625,900.75,900.75,218993,72.22223589497901,,872.0038452148438,848.7766662597656,882.246555565487,903.6397229825063,25.16146821151927,16.54604424315817,20.656767717142746,21.072198277493687,873.126679929919,950.5506156853181,747.0027168342132,17.601308277012322,10.789230757892483,70.61911863860225,71.61161255142643
2019-06-04,899.7999877929688,923.25,852.25,878.5999755859375,878.5999755859375,641621,61.50503372710238,,876.6923029972957,847.5549987792969,881.5835410237507,898.5445751944369,21.87814029892522,19.560251193429803,5.593578857719527,19.966582604652675,873.3511607472929,945.0585011330925,750.0514964255012,16.360457001246573,11.9034760065633,53.996211010787995,65.70032577495675
2019-06-06,879.0,892.5,840.0,843.7000122070312,843.7000122070312,308250,55.36339241484921,,877.7153789813702,845.5583333333333,874.695626693438,882.9372701991981,19.818976384191025,19.9154920611296,0.24290164362307634,18.55774825029342,873.2162021466099,937.6081994713954,753.5084671952711,12.417793458654046,12.00633949698145,21.08286059052378,48.566063413304676
2019-06-07,849.0,877.0,842.0,869.1500244140625,869.1500244140625,386023,57.581688731361645,,879.2230741060697,844.865000406901,873.6873353699152,879.6055326099275,18.564426387159962,18.654832578932925,0.24290164362306202,17.24954492124554,873.0961955129391,933.1481512015347,756.5818496122673,11.217499138851508,11.848571425355463,38.10151375666687,37.72686178599288
2019-06-10,874.5499877929688,899.0,857.0,892.25,892.25,250395,58.22736459541444,,882.6115347055288,844.8666666666667,877.0623653026579,884.6659148076393,21.12170077614006,17.244376366354764,10.106126814541366,16.739300770766672,873.1672413321731,928.8584084341567,760.8749248991767,11.9919959533961,11.87725633096359,58.31145751677265,39.16527728798777
2019-06-11,897.7999877929688,908.0,892.25,903.25,903.25,245931,60.226638544154284,,887.3769202599159,845.7266662597656,881.8237534294474,891.9405205827145,22.188957795067576,16.733265540916786,14.01690804519611,16.544844147511633,873.3681732410614,916.2827902493102,775.170542270221,13.339627406917998,12.169730546154472,67.93525043093045,54.78274056812332
2019-06-12,891.0,905.0,885.2000122070312,891.5,891.5,129861,59.160588209742684,,890.8192279522235,846.9483337402344,883.5830709877297,893.2998675699065,21.33332523272417,17.461367360206978,9.98063810724127,16.075972287492323,873.4456819228865,910.9264576745732,782.9702098058956,13.306123532532979,12.397009143430175,57.65528981808007,61.300665921927724
