Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RSI,SMA,EMA,DEMA
2023-05-09,1300.0,1430.0,1300.0,1422.300048828125,1422.300048828125,33193796,0,0,,,1422.300048828125,1422.300048828125
2023-05-10,1417.0,1424.3499755859375,1340.0,1382.8499755859375,1382.8499755859375,5651542,0,0,,,1415.1273082386363,1409.2587023017818
2023-05-11,1370.0,1386.0,1306.6500244140625,1380.4000244140625,1380.4000244140625,5111576,0,0,,,1408.8132566341683,1398.8456277367227
2023-05-12,1364.0,1438.800048828125,1357.050048828125,1394.449951171875,1394.449951171875,1946969,0,0,,,1406.2017465501149,1395.9097237470703
2023-05-15,1397.9000244140625,1409.800048828125,1378.0,1384.9000244140625,1384.9000244140625,565868,0,0,,,1402.3287061617416,1390.7391090051271
2023-05-16,1389.0,1393.449951171875,1351.949951171875,1359.0,1359.0,728775,0,0,,,1394.4507595868793,1378.5227692611256
2023-05-17,1359.0,1369.699951171875,1343.4000244140625,1354.4000244140625,1354.4000244140625,525476,0,0,,,1387.1688077372762,1368.178855048348
2023-05-18,1360.550048828125,1369.949951171875,1354.0,1355.800048828125,1355.800048828125,255442,0,0,,,1381.4653970265213,1361.261736063144
2023-05-19,1360.0,1361.0,1325.75,1330.800048828125,1330.800048828125,373144,0,0,,,1372.2535155359037,1348.1862535280898
2023-05-22,1330.0,1349.0,1242.0,1330.449951171875,1330.449951171875,914898,0,0,,,1364.6528674697165,1338.742759227352
2023-05-23,1339.949951171875,1348.949951171875,1322.6500244140625,1331.25,1331.25,221060,0,0,,,1358.5796188388588,1332.411417760768
2023-05-24,1325.0,1339.3499755859375,1314.0,1322.6500244140625,1322.6500244140625,177959,0,0,,,1352.0469653070777,1325.2917206262737
2023-05-25,1329.0,1343.8499755859375,1319.800048828125,1327.699951171875,1327.699951171875,132683,0,0,,,1347.6202354643135,1322.1077108541213
2023-05-26,1327.6500244140625,1334.949951171875,1320.5,1323.5999755859375,1323.5999755859375,83415,0,0,,,1343.252915486427,1318.8057699143624
2023-05-29,1328.0,1375.0,1320.0,1367.5999755859375,1367.5999755859375,495981,0,0,35.24012550914803,,1347.6796536863378,1331.2993203818485
2023-05-30,1381.300048828125,1385.0,1345.0,1355.949951171875,1355.949951171875,258524,0,0,41.46030309113273,,1349.1833441382537,1337.0115454406937
2023-05-31,1379.949951171875,1398.5999755859375,1326.0,1360.0,1360.0,879563,0,0,43.58892911864607,,1351.1500088403893,1342.800353753224
2023-06-01,1368.0,1401.0,1365.300048828125,1395.4000244140625,1395.4000244140625,574856,0,0,50.26325099932556,,1359.1954662174207,1358.9465771818568
2023-06-02,1406.0,1509.050048828125,1399.050048828125,1466.25,1466.25,1540408,0,0,66.82521913314216,,1378.6599269051626,1394.3817582569445
2023-06-05,1443.949951171875,1469.9000244140625,1413.050048828125,1423.9000244140625,1423.9000244140625,612827,0,0,62.56777807982791,,1386.8853991795079,1406.4786476008849
2023-06-06,1430.800048828125,1496.0,1430.0,1488.5,1488.5,687238,0,0,71.0716443619219,,1405.36078114687,1436.5078423740204
2023-06-07,1489.949951171875,1518.9000244140625,1473.0,1486.1500244140625,1486.1500244140625,542372,0,0,70.42142654152245,,1420.0497344681776,1457.5519281896431
2023-06-08,1490.949951171875,1491.3499755859375,1450.699951171875,1457.050048828125,1457.050048828125,174292,0,0,69.52822892498067,,1426.7770643518043,1462.9648563923345
2023-06-09,1471.949951171875,1496.0,1456.050048828125,1485.300048828125,1485.300048828125,182349,0,0,72.04900195368175,,1437.4176069838627,1475.731698988708
2023-06-12,1478.25,1488.699951171875,1469.0,1474.699951171875,1474.699951171875,99106,0,0,69.871169216971,,1444.1962150180466,1481.090242322707
2023-06-13,1535.0,1544.5,1502.1500244140625,1521.199951171875,1521.199951171875,580211,0,0,74.8903019821086,,1458.1968943187426,1499.8380179049432
2023-06-14,1527.050048828125,1662.0,1524.0999755859375,1620.75,1620.75,1505759,0,0,79.70000920444862,,1487.7520044426076,1546.0034683872068
2023-06-15,1594.1500244140625,1652.9000244140625,1585.0,1622.6500244140625,1622.6500244140625,1105604,0,0,80.44385214671199,,1512.2789171646903,1580.0066798919756
2023-06-16,1630.0,1680.0,1608.800048828125,1623.6500244140625,1623.6500244140625,839183,0,0,78.56744004624043,,1532.5282093918486,1604.5094361727572
2023-06-19,1631.800048828125,1724.0,1627.550048828125,1700.550048828125,1700.550048828125,658756,0,0,83.5605764836627,,1563.0776347438987,1646.9663501254104
2023-06-20,1719.0,1755.0,1712.300048828125,1746.9000244140625,1746.9000244140625,572514,0,0,84.81194650170957,,1596.4998874112011,1692.4815885420492
2023-06-21,1768.0,1768.0,1680.050048828125,1696.0999755859375,1696.0999755859375,911759,0,0,76.3263788962674,,1614.6089943520622,1707.956019138006
2023-06-22,1724.0,1746.0,1645.050048828125,1681.4000244140625,1681.4000244140625,1225846,0,0,70.89037710582815,,1626.7528179996984,1713.0635121726277
2023-06-23,1684.699951171875,1758.0,1680.050048828125,1694.0,1694.0,845406,0,0,77.83387621740086,,1638.9795783633895,1719.60113207517
2023-06-26,1701.0,1720.0,1693.050048828125,1702.8499755859375,1702.8499755859375,238572,0,0,74.95633240526371,,1650.592377858398,1726.056848663953
2023-06-27,1705.5,1709.9000244140625,1675.0,1677.699951171875,1677.699951171875,248597,0,0,71.17743228912073,,1655.5210275517575,1721.2972170508692
