,ADX
2024-01-16,23.0994
2024-01-15,23.2420
2024-01-12,23.1318
2024-01-11,23.2186
2024-01-10,23.3609
2024-01-09,24.7354
2024-01-08,24.0913
2024-01-05,22.4189
2024-01-04,20.9874
2024-01-03,20.2508
2024-01-02,22.1858
2024-01-01,23.8301
2023-12-29,25.9109
2023-12-28,27.9484
2023-12-27,29.5490
2023-12-26,31.6113
2023-12-22,34.9888
2023-12-21,38.7416
2023-12-20,42.8346
2023-12-19,44.4518
2023-12-18,44.5294
2023-12-15,45.0905
2023-12-14,45.4567
2023-12-13,44.4003
2023-12-12,43.2265
2023-12-11,42.6988
2023-12-08,41.3896
2023-12-07,40.1301
2023-12-06,38.9431
2023-12-05,36.4112
2023-12-04,32.4433
2023-12-01,28.5727
2023-11-30,24.8593
2023-11-29,21.7954
2023-11-28,19.2412
2023-11-24,19.8039
2023-11-23,21.9074
2023-11-22,23.3883
2023-11-21,24.4807
2023-11-20,25.2764
2023-11-17,25.8185
2023-11-16,27.3967
2023-11-15,27.4553
2023-11-13,25.3985
2023-11-10,23.6136
2023-11-09,22.3481
2023-11-08,21.2208
2023-11-07,20.1665
2023-11-06,19.3845
2023-11-03,19.0670
2023-11-02,20.8997
2023-11-01,22.3941
2023-10-31,22.8403
2023-10-30,24.5015
2023-10-27,26.5003
2023-10-26,28.7213
2023-10-25,26.7002
2023-10-23,24.2634
2023-10-20,22.2056
2023-10-19,21.2807
2023-10-18,20.3799
2023-10-17,20.3051
2023-10-16,21.7741
2023-10-13,22.6667
2023-10-12,23.7575
2023-10-11,24.9344
2023-10-10,26.8645
2023-10-09,29.2975
2023-10-06,29.6098
2023-10-05,31.1761
2023-10-04,32.9164
2023-10-03,34.8501
2023-09-29,32.7794
2023-09-28,30.8569
2023-09-27,28.9770
2023-09-26,27.8858
2023-09-25,27.6468
2023-09-22,27.3812
2023-09-21,26.4045
2023-09-20,24.4743
2023-09-18,22.1911
2023-09-15,21.2970
2023-09-14,20.3035
2023-09-13,20.2047
2023-09-12,20.6314
2023-09-11,22.0301
2023-09-08,24.3809
2023-09-07,24.5864
2023-09-06,23.2613
2023-09-05,21.7891
2023-09-04,21.7404
2023-09-01,21.8949
2023-08-31,21.8105
2023-08-30,21.7446
2023-08-29,22.6672
2023-08-28,22.7892
2023-08-25,22.9247
2023-08-24,21.4642
2023-08-23,17.9894
2023-08-22,15.3637
2023-08-21,15.4389
2023-08-18,16.5035
2023-08-17,16.9798
2023-08-16,16.6636
2023-08-14,15.4471
2023-08-11,14.0954
2023-08-10,13.1899
2023-08-09,12.9360
2023-08-08,13.8071
2023-08-07,14.8187
2023-08-04,14.8830
2023-08-03,14.9545
2023-08-02,13.5281
2023-08-01,13.0998
2023-07-31,13.9911
2023-07-28,15.2349
2023-07-27,16.6169
2023-07-26,16.2302
2023-07-25,17.2769
2023-07-24,18.9898
2023-07-21,17.6300
2023-07-20,16.1191
2023-07-19,15.1259
2023-07-18,15.5710
2023-07-17,16.0657
2023-07-14,17.0628
2023-07-13,17.7935
2023-07-12,19.3608
2023-07-11,19.5314
2023-07-10,20.2527
2023-07-07,22.4034
2023-07-06,22.4949
2023-07-05,23.2428
2023-07-04,25.7271
2023-07-03,27.2260
2023-06-30,26.6356
2023-06-28,25.9795
2023-06-27,26.0471
2023-06-26,27.4112
2023-06-23,29.4937
2023-06-22,32.1901
2023-06-21,35.5810
2023-06-20,38.4099
2023-06-19,41.6208
2023-06-16,44.7169
2023-06-15,44.3382
2023-06-14,43.9175
2023-06-13,42.3985
2023-06-12,40.7108
2023-06-09,39.6634
2023-06-08,38.4996
2023-06-07,37.8461
2023-06-06,35.4070
2023-06-05,33.3789
2023-06-02,32.5227
2023-06-01,34.9443
2023-05-31,37.6349
2023-05-30,40.6245
2023-05-29,38.9998
2023-05-26,37.3246
2023-05-25,36.6394
2023-05-24,36.5123
2023-05-23,36.7238
2023-05-22,36.0767
2023-05-19,34.5516
2023-05-18,32.9724
2023-05-17,30.3890
2023-05-16,28.4704
2023-05-15,26.2024
2023-05-12,23.9258
2023-05-11,21.9401
2023-05-10,21.2247
2023-05-09,21.4733
2023-05-08,21.1821
2023-05-05,22.1240
2023-05-04,23.1706
2023-05-03,24.0190
2023-05-02,24.8571
2023-04-28,27.4315
2023-04-27,30.2919
2023-04-26,28.3740
2023-04-25,26.2761
2023-04-24,23.9452
2023-04-21,22.5437
2023-04-20,22.5339
2023-04-19,20.6197
2023-04-18,18.5818
2023-04-17,16.6525
2023-04-13,14.5088
2023-04-12,13.7161
2023-04-11,14.7176
2023-04-10,16.0385
2023-04-06,17.5061
2023-04-05,18.2067
2023-04-03,17.4266
2023-03-31,16.9968
2023-03-29,17.2224
2023-03-28,18.9397
2023-03-27,18.5314
2023-03-24,18.3714
2023-03-23,19.5156
2023-03-22,21.3644
2023-03-21,23.0314
2023-03-20,25.3115
2023-03-17,25.5293
2023-03-16,25.7714
2023-03-15,25.3206
2023-03-14,25.4175
2023-03-13,24.1001
2023-03-10,23.6419
2023-03-09,25.3141
2023-03-08,25.9915
2023-03-06,28.8191
2023-03-03,31.4785
2023-03-02,34.4253
2023-03-01,37.6996
2023-02-28,40.7306
2023-02-27,41.5712
2023-02-24,43.1687
2023-02-23,44.1007
2023-02-22,43.5482
2023-02-21,41.4609
2023-02-20,39.6708
2023-02-17,38.1152
2023-02-16,36.9819
2023-02-15,36.8608
2023-02-14,36.4360
2023-02-13,35.6814
2023-02-10,35.0008
2023-02-09,34.9192
2023-02-08,34.8285
2023-02-07,35.2189
2023-02-06,35.9338
2023-02-03,36.7282
2023-02-02,35.5622
2023-02-01,31.9865
2023-01-31,28.0135
2023-01-30,24.7281
2023-01-27,21.0777
2023-01-25,17.2356
2023-01-24,14.9455
2023-01-23,14.2370
2023-01-20,15.1900
2023-01-19,16.6601
2023-01-18,18.2935
2023-01-17,17.8506
2023-01-16,16.6202
2023-01-13,15.8020
2023-01-12,16.2453
2023-01-11,16.9194
2023-01-10,16.8611
2023-01-09,16.7773
2023-01-06,17.2102
2023-01-05,19.0537
2023-01-04,20.4431
2023-01-03,18.9933
2023-01-02,17.8815
2022-12-30,19.6452
2022-12-29,21.7764
2022-12-28,23.8849
