,ADX
2024-01-16,17.1828
2024-01-15,16.2665
2024-01-12,15.9690
2024-01-11,16.0985
2024-01-10,17.3632
2024-01-09,17.9850
2024-01-08,18.7294
2024-01-05,20.3497
2024-01-04,22.3569
2024-01-03,23.2615
2024-01-02,24.0381
2024-01-01,25.6729
2023-12-29,27.6610
2023-12-28,29.5587
2023-12-27,30.5655
2023-12-26,32.7749
2023-12-22,36.2288
2023-12-21,39.7756
2023-12-20,43.7166
2023-12-19,45.9577
2023-12-18,46.5151
2023-12-15,46.0068
2023-12-14,43.6222
2023-12-13,41.0956
2023-12-12,39.3473
2023-12-11,37.4046
2023-12-08,35.2775
2023-12-07,33.3531
2023-12-06,31.8776
2023-12-05,27.6597
2023-12-04,22.9731
2023-12-01,18.6380
2023-11-30,17.8322
2023-11-29,19.2109
2023-11-28,20.7429
2023-11-24,21.0382
2023-11-23,21.1040
2023-11-22,19.3770
2023-11-21,17.4582
2023-11-20,16.4727
2023-11-17,15.0263
2023-11-16,13.8869
2023-11-15,15.2053
2023-11-13,15.8612
2023-11-10,16.8084
2023-11-09,18.1715
2023-11-08,19.5370
2023-11-07,20.8569
2023-11-06,22.3235
2023-11-03,22.7844
2023-11-02,25.2634
2023-11-01,26.2071
2023-10-31,25.6876
2023-10-30,25.7131
2023-10-27,24.9230
2023-10-26,24.3664
2023-10-25,21.9747
2023-10-23,20.5752
2023-10-20,20.9697
2023-10-19,20.1958
2023-10-18,19.8355
2023-10-17,20.2179
2023-10-16,22.0049
2023-10-13,23.6217
2023-10-12,25.4183
2023-10-11,28.1440
2023-10-10,30.9658
2023-10-09,33.9432
2023-10-06,34.0815
2023-10-05,34.6640
2023-10-04,34.7699
2023-10-03,32.9597
2023-09-29,32.3236
2023-09-28,32.2196
2023-09-27,29.9264
2023-09-26,27.3784
2023-09-25,25.7304
2023-09-22,23.8992
2023-09-21,22.5139
2023-09-20,22.2011
2023-09-18,23.0171
2023-09-15,21.7819
2023-09-14,19.9982
2023-09-13,18.7870
2023-09-12,17.4412
2023-09-11,15.4411
2023-09-08,15.4239
2023-09-07,16.8399
2023-09-06,17.4338
2023-09-05,18.0257
2023-09-04,18.4186
2023-09-01,18.9217
2023-08-31,19.4807
2023-08-30,21.5132
2023-08-29,23.5133
2023-08-28,22.9966
2023-08-25,22.7993
2023-08-24,22.9165
2023-08-23,21.2908
2023-08-22,21.9189
2023-08-21,23.0007
2023-08-18,24.2027
2023-08-17,24.1165
2023-08-16,24.0703
2023-08-14,24.0458
2023-08-11,24.0187
2023-08-10,24.5410
2023-08-09,26.8058
2023-08-08,29.3189
2023-08-07,31.9961
2023-08-04,35.2443
2023-08-03,37.8442
2023-08-02,40.7330
