,ADX
2024-01-16,26.3853
2024-01-15,27.3345
2024-01-12,27.6898
2024-01-11,29.8071
2024-01-10,31.6804
2024-01-09,33.3796
2024-01-08,36.7170
2024-01-05,40.5563
2024-01-04,41.5465
2024-01-03,43.7643
2024-01-02,46.2285
2024-01-01,48.9961
2023-12-29,50.9438
2023-12-28,52.5212
2023-12-27,52.0634
2023-12-26,51.9267
2023-12-22,52.7181
2023-12-21,53.5974
2023-12-20,54.6460
2023-12-19,53.9322
2023-12-18,50.9904
2023-12-15,47.8723
2023-12-14,44.6329
2023-12-13,42.3979
2023-12-12,40.6134
2023-12-11,38.9271
2023-12-08,36.0971
2023-12-07,33.2335
2023-12-06,30.3997
2023-12-05,27.2510
2023-12-04,23.9535
2023-12-01,21.9056
2023-11-30,24.1681
2023-11-29,25.2214
2023-11-28,26.3917
2023-11-24,26.1303
2023-11-23,24.6478
2023-11-22,23.0006
2023-11-21,21.1704
2023-11-20,20.1579
2023-11-17,19.0329
2023-11-16,18.1380
2023-11-15,17.4704
2023-11-13,16.7287
2023-11-10,17.7604
2023-11-09,19.6281
2023-11-08,21.2937
2023-11-07,22.3262
2023-11-06,23.6041
2023-11-03,24.8588
2023-11-02,27.1269
2023-11-01,29.6482
2023-10-31,30.8883
2023-10-30,32.2377
2023-10-27,32.9461
2023-10-26,32.5477
2023-10-25,28.7994
2023-10-23,25.6248
2023-10-20,22.0976
2023-10-19,19.5640
2023-10-18,17.5540
2023-10-17,15.7470
2023-10-16,14.8643
2023-10-13,13.4769
2023-10-12,12.6045
2023-10-11,13.9628
2023-10-10,14.6544
2023-10-09,15.9396
2023-10-06,16.3085
2023-10-05,16.2413
2023-10-04,17.5282
2023-10-03,18.9580
2023-09-29,18.6843
2023-09-28,19.6087
2023-09-27,21.3635
2023-09-26,23.0150
2023-09-25,25.3306
2023-09-22,27.9036
2023-09-21,30.3341
2023-09-20,33.0346
2023-09-18,31.0705
2023-09-15,28.8881
2023-09-14,27.6611
2023-09-13,26.2577
2023-09-12,25.6797
2023-09-11,25.8013
2023-09-08,26.3217
2023-09-07,27.7845
2023-09-06,30.5019
2023-09-05,31.2150
2023-09-04,32.8131
2023-09-01,33.9156
2023-08-31,33.3053
2023-08-30,32.1994
2023-08-29,32.1453
2023-08-28,33.2419
2023-08-25,33.8368
2023-08-24,34.4977
2023-08-23,36.9223
2023-08-22,38.3736
2023-08-21,38.7493
2023-08-18,39.7075
2023-08-17,40.6614
2023-08-16,41.0764
2023-08-14,39.3447
2023-08-11,37.8949
2023-08-10,38.0374
2023-08-09,37.7725
2023-08-08,36.5814
2023-08-07,35.0248
