,ADX
2024-01-16,44.0788
2024-01-15,45.2858
2024-01-12,46.0124
2024-01-11,47.1174
2024-01-10,47.4966
2024-01-09,47.9180
2024-01-08,47.6257
2024-01-05,47.8494
2024-01-04,48.4091
2024-01-03,49.1909
2024-01-02,51.4276
2024-01-01,51.6848
2023-12-29,51.6424
2023-12-28,51.8864
2023-12-27,52.1574
2023-12-26,51.5707
2023-12-22,50.9188
2023-12-21,50.1944
2023-12-20,49.3895
2023-12-19,45.0939
2023-12-18,42.4050
2023-12-15,40.5280
2023-12-14,39.5046
2023-12-13,38.7045
2023-12-12,38.9939
2023-12-11,38.8552
2023-12-08,38.7011
2023-12-07,40.4097
2023-12-06,41.3310
2023-12-05,42.6243
2023-12-04,44.0614
2023-12-01,44.4956
2023-11-30,42.4169
2023-11-29,40.1073
2023-11-28,40.1116
2023-11-24,40.0382
2023-11-23,38.6390
2023-11-22,37.0843
2023-11-21,36.6592
2023-11-20,34.9855
2023-11-17,32.4681
2023-11-16,30.2418
2023-11-15,27.7682
2023-11-13,26.6143
2023-11-10,24.6863
2023-11-09,22.6460
2023-11-08,20.1291
2023-11-07,17.2450
2023-11-06,15.1563
2023-11-03,14.8482
2023-11-02,15.2592
2023-11-01,16.7463
2023-10-31,17.4177
2023-10-30,17.8032
2023-10-27,18.6557
2023-10-26,19.2752
2023-10-25,15.1730
2023-10-23,13.3284
2023-10-20,12.8769
2023-10-19,12.1624
2023-10-18,11.3686
2023-10-17,12.5325
2023-10-16,13.5369
2023-10-13,14.6528
2023-10-12,16.0294
2023-10-11,17.7875
2023-10-10,19.1675
2023-10-09,19.2886
2023-10-06,19.4231
2023-10-05,21.2029
2023-10-04,23.1805
2023-10-03,24.6360
2023-09-29,26.2532
2023-09-28,26.9340
2023-09-27,27.1015
2023-09-26,24.7300
2023-09-25,22.0951
2023-09-22,23.1729
2023-09-21,25.6397
2023-09-20,27.8659
2023-09-18,30.1574
2023-09-15,31.2305
2023-09-14,31.4155
2023-09-13,32.0931
2023-09-12,32.8944
2023-09-11,33.3236
2023-09-08,34.6880
2023-09-07,36.2041
2023-09-06,35.9585
2023-09-05,35.8303
2023-09-04,34.1734
2023-09-01,33.2674
2023-08-31,33.1575
2023-08-30,33.3570
2023-08-29,33.9789
2023-08-28,35.3962
2023-08-25,38.4987
2023-08-24,40.3951
2023-08-23,41.0009
2023-08-22,40.9799
2023-08-21,37.8290
2023-08-18,34.6071
2023-08-17,31.0274
2023-08-16,27.0498
2023-08-14,23.7455
2023-08-11,21.9022
2023-08-10,21.4863
2023-08-09,22.5714
2023-08-08,23.7770
2023-08-07,25.4783
2023-08-04,26.1261
2023-08-03,26.8458
2023-08-02,28.4903
2023-08-01,28.4164
2023-07-31,28.3343
2023-07-28,26.1707
2023-07-27,23.6644
2023-07-26,21.7167
2023-07-25,19.5797
2023-07-24,17.2053
2023-07-21,14.5670
2023-07-20,12.6483
2023-07-19,11.8095
2023-07-18,12.3020
2023-07-17,12.8492
2023-07-14,13.5230
2023-07-13,14.2716
2023-07-12,14.3630
2023-07-11,13.9086
2023-07-10,14.8395
2023-07-07,15.8739
2023-07-06,17.5988
2023-07-05,19.5153
2023-07-04,21.0590
2023-07-03,21.8402
2023-06-30,22.7083
2023-06-28,21.7975
2023-06-27,21.3084
2023-06-26,21.2606
2023-06-23,19.9155
2023-06-22,18.9860
2023-06-21,20.7757
2023-06-20,22.3169
2023-06-19,24.2425
2023-06-16,26.3821
2023-06-15,27.8674
2023-06-14,28.2261
2023-06-13,31.2956
2023-06-12,33.9019
2023-06-09,35.4406
2023-06-08,38.3957
2023-06-07,41.6791
2023-06-06,44.0725
2023-06-05,43.8334
2023-06-02,44.4752
2023-06-01,45.1884
2023-05-31,45.9809
2023-05-30,47.4774
2023-05-29,48.3078
2023-05-26,46.4368
2023-05-25,44.3579
2023-05-24,44.8200
2023-05-23,45.5174
2023-05-22,47.7100
2023-05-19,46.9114
2023-05-18,45.4801
2023-05-17,43.8899
2023-05-16,41.5506
2023-05-15,39.2356
2023-05-12,36.9726
2023-05-11,34.4582
2023-05-10,30.2944
2023-05-09,26.1409
2023-05-08,23.5795
2023-05-05,24.1600
2023-05-04,25.1012
2023-05-03,27.2146
2023-05-02,29.5628
2023-04-28,32.1720
2023-04-27,32.2667
2023-04-26,31.8119
2023-04-25,31.9409
2023-04-24,32.0842
2023-04-21,32.6114
2023-04-20,36.0108
2023-04-19,39.7879
2023-04-18,40.2768
2023-04-17,40.8199
2023-04-13,39.7345
2023-04-12,38.2053
2023-04-11,36.7361
2023-04-10,35.4014
2023-04-06,34.8820
2023-04-05,34.3049
2023-04-03,30.5783
2023-03-31,27.7839
2023-03-29,25.7484
2023-03-28,23.7185
2023-03-27,22.2893
2023-03-24,20.7013
2023-03-23,18.9368
2023-03-22,18.2680
2023-03-21,17.6093
2023-03-20,17.5919
2023-03-17,18.9953
2023-03-16,20.5547
2023-03-15,22.2873
2023-03-14,22.0745
2023-03-13,23.8547
2023-03-10,25.0546
2023-03-09,25.0841
2023-03-08,23.7750
2023-03-06,23.2377
2023-03-03,21.3137
2023-03-02,19.8307
2023-03-01,18.7409
2023-02-28,17.5300
2023-02-27,17.0896
2023-02-24,18.1025
2023-02-23,19.0404
2023-02-22,20.6274
2023-02-21,21.2114
2023-02-20,21.0626
2023-02-17,21.3622
2023-02-16,23.7176
2023-02-15,25.6108
2023-02-14,27.9936
2023-02-13,30.2924
2023-02-10,32.8443
2023-02-09,36.3735
2023-02-08,39.4704
2023-02-07,41.0625
2023-02-06,44.0395
2023-02-03,46.8534
2023-02-02,44.4211
2023-02-01,42.2802
2023-01-31,40.1017
2023-01-30,37.8531
2023-01-27,36.3925
2023-01-25,35.4099
2023-01-24,36.3293
2023-01-23,37.3508
2023-01-20,37.6541
2023-01-19,37.6396
2023-01-18,37.1286
2023-01-17,35.8463
2023-01-16,34.4216
2023-01-13,32.5097
2023-01-12,28.4876
2023-01-11,24.8619
2023-01-10,21.9508
2023-01-09,21.4004
2023-01-06,21.9053
2023-01-05,22.0471
2023-01-04,22.2045
2023-01-03,24.2479
2023-01-02,26.6945
2022-12-30,28.7766
2022-12-29,31.0900
2022-12-28,34.2883
2022-12-27,36.7428
2022-12-26,39.5213
2022-12-23,42.1951
2022-12-22,44.7121
2022-12-21,49.5500
2022-12-20,52.6165
2022-12-19,53.9378
2022-12-16,54.4407
2022-12-15,55.0378
2022-12-14,53.5735
2022-12-13,51.0440
2022-12-12,48.6729
2022-12-09,45.4896
2022-12-08,41.9856
2022-12-07,38.6954
2022-12-06,35.3914
2022-12-05,31.7203
2022-12-02,27.6413
2022-12-01,23.4051
2022-11-30,19.9569
2022-11-29,16.1257
2022-11-28,17.8416
2022-11-25,18.8501
2022-11-24,19.9889
2022-11-23,20.8516
2022-11-22,22.1120
2022-11-21,24.4300
2022-11-18,26.9873
2022-11-17,27.0470
2022-11-16,27.2419
2022-11-15,27.5776
2022-11-14,29.5645
2022-11-11,31.7723
2022-11-10,32.8251
2022-11-09,31.9208
2022-11-07,30.8118
2022-11-04,29.7637
2022-11-03,27.1741
2022-11-02,24.2967
2022-11-01,22.8093
2022-10-31,23.1519
2022-10-28,24.1961
2022-10-27,25.6970
2022-10-25,27.3647
2022-10-21,28.1180
2022-10-20,27.6601
2022-10-19,26.2628
2022-10-18,24.5931
2022-10-17,22.6274
2022-10-14,21.0640
2022-10-13,20.4846
2022-10-12,21.3569
2022-10-11,22.0020
2022-10-10,23.0066
2022-10-07,24.5852
2022-10-06,24.0949
2022-10-04,23.5500
2022-10-03,22.9447
2022-09-30,25.2985
2022-09-29,26.3812
2022-09-28,28.1898
2022-09-27,29.6981
2022-09-26,31.3740
2022-09-23,34.5197
2022-09-22,31.8466
2022-09-21,28.8766
2022-09-20,27.6722
2022-09-19,26.9231
2022-09-16,26.4967
2022-09-15,26.4515
2022-09-14,26.4447
2022-09-13,28.0377
2022-09-12,29.0022
2022-09-09,30.1531
2022-09-08,30.3732
2022-09-07,29.7227
2022-09-06,29.4110
2022-09-05,29.0647
2022-09-02,31.0638
2022-09-01,32.9640
2022-08-30,35.0753
2022-08-29,37.7535
2022-08-26,41.5870
2022-08-25,43.8413
2022-08-24,46.3460
2022-08-23,49.1289
2022-08-22,53.6607
2022-08-19,58.6960
2022-08-18,61.2983
2022-08-17,58.9988
2022-08-16,56.4872
2022-08-12,53.6966
2022-08-11,51.4510
2022-08-10,49.2022
2022-08-08,46.7035
2022-08-05,43.9273
2022-08-04,40.5800
2022-08-03,37.2050
2022-08-02,35.5334
2022-08-01,32.6482
2022-07-29,29.9311
2022-07-28,29.8772
2022-07-27,30.5875
2022-07-26,30.3464
2022-07-25,29.8978
2022-07-22,29.3994
2022-07-21,29.3414
2022-07-20,27.9350
2022-07-19,26.9818
2022-07-18,26.9144
2022-07-15,28.1146
2022-07-14,30.4433
2022-07-13,32.9964
2022-07-12,30.8540
2022-07-11,29.3496
2022-07-08,26.1827
2022-07-07,23.3530
2022-07-06,20.5148
2022-07-05,18.7404
2022-07-04,18.2568
2022-07-01,18.2158
2022-06-30,16.9622
2022-06-29,17.0078
2022-06-28,17.5649
2022-06-27,18.4048
2022-06-24,19.6580
2022-06-23,20.4296
2022-06-22,22.4800
2022-06-21,24.2853
2022-06-20,26.3931
2022-06-17,28.7352
2022-06-16,29.6455
2022-06-15,28.1555
2022-06-14,25.0456
2022-06-13,22.0806
2022-06-10,20.7145
2022-06-09,19.7310
2022-06-08,19.1099
2022-06-07,18.0387
2022-06-06,17.8463
2022-06-03,17.6325
2022-06-02,16.8677
2022-06-01,16.0179
2022-05-31,17.3463
2022-05-30,18.2265
2022-05-27,19.1525
2022-05-26,20.0765
2022-05-25,21.9225
2022-05-24,23.9736
2022-05-23,24.9484
2022-05-20,26.4420
2022-05-19,28.1616
2022-05-18,31.0949
2022-05-17,31.9646
2022-05-16,31.8657
2022-05-13,32.7757
2022-05-12,34.1277
2022-05-11,37.5652
2022-05-10,41.3847
2022-05-09,44.1799
2022-05-06,48.2422
2022-05-05,49.3380
2022-05-04,50.5556
2022-05-02,49.6507
2022-04-29,48.5625
2022-04-28,47.3533
2022-04-27,47.1881
2022-04-26,47.6397
2022-04-25,45.5347
2022-04-22,44.0158
2022-04-21,43.2493
2022-04-20,41.4056
2022-04-19,37.5127
2022-04-18,33.5309
2022-04-13,29.3799
2022-04-12,25.4107
2022-04-11,22.9152
2022-04-08,21.6118
2022-04-07,19.5611
2022-04-06,17.2826
2022-04-05,15.8060
2022-04-04,15.3322
2022-04-01,15.2071
2022-03-31,15.0682
2022-03-30,14.9138
2022-03-29,14.0432
2022-03-28,15.3313
2022-03-25,16.7626
2022-03-24,17.4667
2022-03-23,16.3063
2022-03-22,14.6548
2022-03-21,13.2696
2022-03-17,13.0321
2022-03-16,12.7683
2022-03-15,13.3891
2022-03-14,14.8484
2022-03-11,15.1742
2022-03-10,16.0841
2022-03-09,17.4466
2022-03-08,16.8990
2022-03-07,16.6382
2022-03-04,15.8587
2022-03-03,16.8358
2022-03-02,16.5858
2022-02-28,16.3079
2022-02-25,16.6235
2022-02-24,16.0218
2022-02-23,12.5876
2022-02-22,13.9326
2022-02-21,14.9644
2022-02-18,14.6254
2022-02-17,15.1935
2022-02-16,16.7598
2022-02-15,17.6126
2022-02-14,18.2213
2022-02-11,18.8976
2022-02-10,19.6491
2022-02-09,19.5761
2022-02-08,21.6965
2022-02-07,21.1201
2022-02-04,20.7072
2022-02-03,20.4837
2022-02-02,20.6557
2022-02-01,21.2023
2022-01-31,23.4337
2022-01-28,25.1781
2022-01-27,26.0828
2022-01-25,25.4615
2022-01-24,25.5085
2022-01-21,27.0973
2022-01-20,29.4543
2022-01-19,28.1296
2022-01-18,26.6578
2022-01-17,24.1360
2022-01-14,21.3797
2022-01-13,19.4735
2022-01-12,18.1838
2022-01-11,16.7508
2022-01-10,17.2043
2022-01-07,17.1250
2022-01-06,16.3358
2022-01-05,15.6121
2022-01-04,16.5174
2022-01-03,17.2729
2021-12-31,17.3378
2021-12-30,17.4099
2021-12-29,17.4900
2021-12-28,19.0628
2021-12-27,20.7639
2021-12-24,20.0111
2021-12-23,19.4582
2021-12-22,19.3242
2021-12-21,19.1753
2021-12-20,16.6402
2021-12-17,13.9288
2021-12-16,13.2577
2021-12-15,13.8993
2021-12-14,13.4628
2021-12-13,12.9779
2021-12-10,13.0385
2021-12-09,14.0326
2021-12-08,15.5824
2021-12-07,16.6645
2021-12-06,17.3013
2021-12-03,18.0088
2021-12-02,19.5608
2021-12-01,21.4104
2021-11-30,23.0552
2021-11-29,24.8277
2021-11-26,25.2496
2021-11-25,27.8452
2021-11-24,29.7712
2021-11-23,31.8345
2021-11-22,33.4991
2021-11-18,35.3487
2021-11-17,35.9717
2021-11-16,37.3223
2021-11-15,38.8229
2021-11-12,38.0866
2021-11-11,37.7178
2021-11-10,38.5690
2021-11-09,37.0056
2021-11-08,34.4614
2021-11-03,31.7249
2021-11-02,31.0988
2021-11-01,31.3754
2021-10-29,31.6827
2021-10-28,34.7504
2021-10-27,33.8264
2021-10-26,30.8114
2021-10-25,27.5218
2021-10-22,23.8666
2021-10-21,20.4382
2021-10-20,16.6289
2021-10-19,13.2822
2021-10-18,14.7407
2021-10-14,16.3613
2021-10-13,15.6988
2021-10-12,15.4010
2021-10-11,16.7696
2021-10-08,18.2902
2021-10-07,19.0310
2021-10-06,18.3616
2021-10-05,17.7530
2021-10-04,18.7568
2021-10-01,19.8723
2021-09-30,19.7716
2021-09-29,19.7110
2021-09-28,20.8656
2021-09-27,22.1486
2021-09-24,24.3242
2021-09-23,25.6191
2021-09-22,27.5199
2021-09-21,29.6319
2021-09-20,31.9786
2021-09-17,33.1908
2021-09-16,34.5376
2021-09-15,34.8721
2021-09-14,34.9200
2021-09-13,34.9733
2021-09-09,34.2423
2021-09-08,33.4301
2021-09-07,31.0104
2021-09-06,28.3218
2021-09-03,24.7530
2021-09-02,22.2017
2021-09-01,20.7955
2021-08-31,21.4285
2021-08-30,22.2692
2021-08-27,21.0820
2021-08-26,19.7629
2021-08-25,18.6996
2021-08-24,18.9470
2021-08-23,19.2219
2021-08-20,17.8999
2021-08-18,18.8233
2021-08-17,20.8777
2021-08-16,22.0862
2021-08-13,22.0817
2021-08-12,23.6140
2021-08-11,23.2380
2021-08-10,22.2886
2021-08-09,23.3537
2021-08-06,25.3428
2021-08-05,26.1446
